id,avg_speed_kmh,video
0,36.87983709342216,cctv052x2004080516x01638
1,39.05994478792615,cctv052x2004080516x01638
2,57.690236799035326,cctv052x2004080516x01638
3,10.745823343995726,cctv052x2004080516x01638
4,23.72991923859789,cctv052x2004080516x01638
5,14.126590658325876,cctv052x2004080516x01638
6,4.477124895219638,cctv052x2004080516x01638
7,0.0,cctv052x2004080516x01638
8,14.408619889380487,cctv052x2004080516x01638
9,17.614517658687134,cctv052x2004080516x01638
10,26.7332381844366,cctv052x2004080516x01638
11,62.41132342301698,cctv052x2004080516x01638
12,68.578960853211,cctv052x2004080516x01638
13,72.39293697434279,cctv052x2004080516x01638
14,26.910692471657008,cctv052x2004080516x01638
15,37.34844360017067,cctv052x2004080516x01638
16,0.0,cctv052x2004080516x01638
17,0.0,cctv052x2004080516x01638
18,0.0,cctv052x2004080516x01638
19,23.77312188307066,cctv052x2004080516x01638
20,0.0,cctv052x2004080516x01638
21,83.97542801826539,cctv052x2004080516x01638
22,23.13563341750775,cctv052x2004080516x01638
23,81.78248054664807,cctv052x2004080516x01638
24,31.99425005334277,cctv052x2004080516x01638
25,102.01100814973854,cctv052x2004080516x01638
26,34.718091212431204,cctv052x2004080516x01638
27,17.279988330775314,cctv052x2004080516x01638
28,0.0,cctv052x2004080516x01638
29,4.59989967010449,cctv052x2004080516x01638
30,73.29283150944019,cctv052x2004080516x01638
31,0.0,cctv052x2004080516x01638
32,0.0,cctv052x2004080516x01638
33,60.2802361936932,cctv052x2004080516x01638
34,24.66369021199761,cctv052x2004080516x01638
35,97.5649389654356,cctv052x2004080516x01638
36,142.36360543540818,cctv052x2004080516x01638
37,119.07227653869388,cctv052x2004080516x01638
38,1.652619760535576,cctv052x2004080516x01638
0,20.442532538933705,cctv052x2004080516x01639
1,13.959356188607533,cctv052x2004080516x01639
2,19.253539438911503,cctv052x2004080516x01639
3,44.6924150998063,cctv052x2004080516x01639
4,17.401250837152034,cctv052x2004080516x01639
5,17.518193862913236,cctv052x2004080516x01639
6,4.116672668318989,cctv052x2004080516x01639
7,40.73730116005818,cctv052x2004080516x01639
8,43.07331987678978,cctv052x2004080516x01639
9,0.0,cctv052x2004080516x01639
10,0.0,cctv052x2004080516x01639
