id,avg_speed_kmh
0,36.879837093422154
1,39.05994478792615
2,57.690236799035326
3,10.745823343995726
4,23.72991923859789
5,14.126590658325876
6,4.477124895219638
7,0.0
8,14.408619889380487
9,17.614517658687134
10,26.733238184436598
11,62.41132342301698
12,68.578960853211
13,72.39293697434279
14,26.910692471657008
15,37.34844360017067
16,0.0
17,0.0
18,0.0
19,23.77312188307066
20,0.0
21,83.97542801826539
22,23.13563341750775
23,81.78248054664807
24,31.994250053342775
25,102.01100814973854
26,34.718091212431204
27,17.279988330775314
28,0.0
29,4.59989967010449
30,73.29283150944019
31,0.0
32,0.0
33,60.2802361936932
34,24.663690211997615
35,97.56493896543559
36,142.36360543540818
37,119.07227653869387
38,1.6526197605355761
